genome_id	genome_name	resistant_phenotype	binary_label
1079901.3	Salmonella enterica subsp. enterica serovar Hindmarsh strain CVM N30673	Susceptible	0
108619.101	Salmonella enterica subsp. enterica serovar Newport strain R9_3265_R1	Susceptible	0
108619.141	Salmonella enterica subsp. enterica serovar Newport strain 168	Susceptible	0
108619.142	Salmonella enterica subsp. enterica serovar Newport strain 62	Susceptible	0
108619.143	Salmonella enterica subsp. enterica serovar Newport strain 46	Susceptible	0
108619.144	Salmonella enterica subsp. enterica serovar Newport strain 48	Susceptible	0
108619.145	Salmonella enterica subsp. enterica serovar Newport strain 77	Susceptible	0
108619.146	Salmonella enterica subsp. enterica serovar Newport strain 79	Susceptible	0
108619.147	Salmonella enterica subsp. enterica serovar Newport strain 82	Susceptible	0
108619.148	Salmonella enterica subsp. enterica serovar Newport strain 84	Susceptible	0
108619.149	Salmonella enterica subsp. enterica serovar Newport strain 85	Susceptible	0
108619.151	Salmonella enterica subsp. enterica serovar Newport strain 88	Susceptible	0
108619.152	Salmonella enterica subsp. enterica serovar Newport strain 92	Susceptible	0
108619.153	Salmonella enterica subsp. enterica serovar Newport strain 94	Susceptible	0
108619.154	Salmonella enterica subsp. enterica serovar Newport strain 98	Susceptible	0
108619.155	Salmonella enterica subsp. enterica serovar Newport strain 109	Susceptible	0
108619.156	Salmonella enterica subsp. enterica serovar Newport strain 113	Susceptible	0
108619.157	Salmonella enterica subsp. enterica serovar Newport strain 118	Susceptible	0
108619.158	Salmonella enterica subsp. enterica serovar Newport strain 130	Susceptible	0
108619.159	Salmonella enterica subsp. enterica serovar Newport strain 149	Susceptible	0
108619.161	Salmonella enterica subsp. enterica serovar Newport strain 170	Susceptible	0
108619.162	Salmonella enterica subsp. enterica serovar Newport strain 153	Susceptible	0
108619.163	Salmonella enterica subsp. enterica serovar Newport strain 154	Susceptible	0
108619.164	Salmonella enterica subsp. enterica serovar Newport strain 3	Susceptible	0
108619.165	Salmonella enterica subsp. enterica serovar Newport strain 5	Susceptible	0
108619.166	Salmonella enterica subsp. enterica serovar Newport strain 6	Susceptible	0
108619.167	Salmonella enterica subsp. enterica serovar Newport strain 8	Susceptible	0
108619.168	Salmonella enterica subsp. enterica serovar Newport strain 10	Susceptible	0
108619.169	Salmonella enterica subsp. enterica serovar Newport strain 9	Susceptible	0
108619.17	Salmonella enterica subsp. enterica serovar Newport strain CVM N46850	Susceptible	0
108619.171	Salmonella enterica subsp. enterica serovar Newport strain 19	Susceptible	0
108619.172	Salmonella enterica subsp. enterica serovar Newport strain 21	Susceptible	0
108619.173	Salmonella enterica subsp. enterica serovar Newport strain 192	Susceptible	0
108619.174	Salmonella enterica subsp. enterica serovar Newport strain 201	Susceptible	0
108619.175	Salmonella enterica subsp. enterica serovar Newport strain 195	Susceptible	0
108619.176	Salmonella enterica subsp. enterica serovar Newport strain 198	Susceptible	0
108619.177	Salmonella enterica subsp. enterica serovar Newport strain 200	Susceptible	0
108619.178	Salmonella enterica subsp. enterica serovar Newport strain 206	Susceptible	0
108619.179	Salmonella enterica subsp. enterica serovar Newport strain 209	Susceptible	0
108619.18	Salmonella enterica subsp. enterica serovar Newport strain CVM N50439	Susceptible	0
108619.181	Salmonella enterica subsp. enterica serovar Newport strain 219	Susceptible	0
108619.182	Salmonella enterica subsp. enterica serovar Newport strain 226	Susceptible	0
108619.183	Salmonella enterica subsp. enterica serovar Newport strain 223	Susceptible	0
108619.184	Salmonella enterica subsp. enterica serovar Newport strain 229	Susceptible	0
108619.185	Salmonella enterica subsp. enterica serovar Newport strain 252	Susceptible	0
108619.186	Salmonella enterica subsp. enterica serovar Newport strain 212	Susceptible	0
108619.19	Salmonella enterica subsp. enterica serovar Newport strain CVM N38893	Susceptible	0
108619.38	Salmonella enterica subsp. enterica serovar Newport strain R8_2690_R1	Susceptible	0
108619.39	Salmonella enterica subsp. enterica serovar Newport strain R8_2873_R1	Susceptible	0
108619.41	Salmonella enterica subsp. enterica serovar Newport strain R8_5045_R1	Susceptible	0
108619.42	Salmonella enterica subsp. enterica serovar Newport strain R8_8188_R1	Susceptible	0
108619.43	Salmonella enterica subsp. enterica serovar Newport strain R9_3240_R1	Susceptible	0
108619.44	Salmonella enterica subsp. enterica serovar Newport strain R8_0830_R1	Susceptible	0
108619.45	Salmonella enterica subsp. enterica serovar Newport strain R8_4108_R1	Susceptible	0
108619.46	Salmonella enterica subsp. enterica serovar Newport strain R8_4821_R1	Susceptible	0
108619.47	Salmonella enterica subsp. enterica serovar Newport strain R8_4157_R1	Susceptible	0
108619.48	Salmonella enterica subsp. enterica serovar Newport strain R8_5931_R1	Susceptible	0
108619.49	Salmonella enterica subsp. enterica serovar Newport strain R8_8631_R1	Susceptible	0
108619.51	Salmonella enterica subsp. enterica serovar Newport strain R9_3242_R1	Susceptible	0
108619.84	Salmonella enterica subsp. enterica serovar Newport strain R8_1598_R1	Susceptible	0
108619.85	Salmonella enterica subsp. enterica serovar Newport strain R8_0802_R1	Susceptible	0
108619.86	Salmonella enterica subsp. enterica serovar Newport strain R8_2926_R1	Susceptible	0
108619.87	Salmonella enterica subsp. enterica serovar Newport strain R8_2947_R1	Susceptible	0
108619.88	Salmonella enterica subsp. enterica serovar Newport strain R8_4995_R1	Susceptible	0
108619.89	Salmonella enterica subsp. enterica serovar Newport strain R8_4908_R1	Susceptible	0
108619.91	Salmonella enterica subsp. enterica serovar Newport strain R9_3259_R1	Susceptible	0
108619.92	Salmonella enterica subsp. enterica serovar Newport strain R9_3260_R1	Susceptible	0
108619.93	Salmonella enterica subsp. enterica serovar Newport strain R8_8684_R1	Susceptible	0
108619.94	Salmonella enterica subsp. enterica serovar Newport strain R9_3254_R1	Susceptible	0
108619.95	Salmonella enterica subsp. enterica serovar Newport strain R9_3266_R1	Susceptible	0
108619.96	Salmonella enterica subsp. enterica serovar Newport strain R9_3263_R1	Susceptible	0
108619.97	Salmonella enterica subsp. enterica serovar Newport strain R9_3264_R1	Susceptible	0
108619.98	Salmonella enterica subsp. enterica serovar Newport strain R9_3267_R1	Susceptible	0
